trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
257,False,"{'a': 0.01, 'e': 0.07730474044329974}",20,15,8.085732686506036,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.01, 'e': 0.07653554542391151}",25,14,22.056688673515595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.07577400402284548}",20,3,12.158396233669638,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.07502004008532698}",30,16,7.013406536901661,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.07427357821433388}",30,16,25.563634712787486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.0735345437630571}",30,20,19.573012884449685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.07280286282743559}",20,8,18.887613985494077,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.0720784622387661}",25,3,34.2446293473726,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.07136126955638605}",30,13,14.173782349768324,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.01, 'e': 0.0706512130604296}",25,12,19.156981633712668,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
